method,activation_ratio,sense_active_count,comm_active_count,utility,utility_q25,utility_q75,delivery_ratio,delivery_ratio_q25,delivery_ratio_q75,packet_loss_rate,online_scheduling_time_s,simulation_runtime_s,scenario,unit_delivered_energy,low_power_protection_count,candidate_comm_relay_ratio,actual_forward_unique_satellite_count,actual_forward_participation_ratio,actual_downlink_unique_satellite_count,avg_actual_isl_send_count,max_actual_isl_send_count,avg_actual_isl_receive_count,max_actual_isl_receive_count,avg_actual_downlink_count,max_actual_downlink_count,avg_delivered_relay_hops,max_observed_relay_hops,dropped_ttl_mb,dropped_melt_mb,runtime_s,evaluations
Random Sparse,0.1,489,2000,91800.0,88337.5,122400.0,0.3,0.2902777777777778,0.4,0.6,0.009603299899026752,0.03050630004145205,Stress,,,,,,,,,,,,,,,,,,
Coverage Heuristic,0.1,489,2000,161712.5,161712.5,161712.5,0.5284722222222222,0.5284722222222222,0.5284722222222222,0.47152777777777777,0.02055119932629168,0.03650619997642934,Stress,80.60964520367938,35.0,0.1,87.0,0.00435,14.0,1.4109589041095891,16.0,1.4109589041095891,16.0,0.1917808219178082,2.0,2.9715286903197544,4.0,2675.0,14300.0,,
Budget-constrained NSGA-III,0.1,456,2000,250325.0,250325.0,250325.0,0.8180555555555555,0.8180555555555555,0.8180555555555555,0.18194444444444444,0.010212199878878891,0.028987300000153482,Stress,52.06074702886249,7.0,0.1,29.0,0.00145,10.0,0.3561643835616438,4.0,0.3561643835616438,4.0,0.136986301369863,2.0,1.833616298811545,4.0,2750.0,3800.0,21.01161350007169,660.0
Full Activation Reference,0.1,20000,20000,116350.64935064931,116350.64935064931,116350.64935064931,0.3802308802308801,0.3802308802308801,0.3802308802308801,0.6197691197691197,0.04584659950342029,0.06658099999185652,Stress,1120.0589487666039,104.0,1.0,349.0,0.01745,14.0,4.328767123287672,76.0,4.328767123287672,76.0,0.1917808219178082,2.0,3.25426944971537,4.0,6185.757575757576,16125.930735930735,,
Random Sparse,0.2,978,4000,177650.0,150025.0,177650.0,0.5805555555555556,0.49027777777777776,0.5805555555555556,0.41944444444444445,0.011749800643883646,0.036860299995169044,Stress,,,,,,,,,,,,,,,,,,
Coverage Heuristic,0.2,978,4000,186213.75,186213.75,186213.75,0.6085416666666666,0.6085416666666666,0.6085416666666666,0.39145833333333335,0.02966830087825656,0.04750320001039654,Stress,139.98822321122904,39.0,0.2,139.0,0.00695,16.0,1.8904109589041096,28.0,1.8904109589041096,28.0,0.2191780821917808,2.0,2.5471109589562175,4.0,4130.0,9962.5,,
Budget-constrained NSGA-III,0.2,910,4000,266475.0,266475.0,266475.0,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.12916666666666668,0.011648600222542882,0.037088199984282255,Stress,97.80703349282298,17.0,0.2,46.0,0.0023,11.0,0.5342465753424658,8.0,0.5342465753424658,8.0,0.1506849315068493,2.0,2.7799043062200957,4.0,3250.0,1400.0,25.104221699992195,660.0
Full Activation Reference,0.2,20000,20000,116350.64935064931,116350.64935064931,116350.64935064931,0.3802308802308801,0.3802308802308801,0.3802308802308801,0.6197691197691197,0.04584659950342029,0.06658099999185652,Stress,1120.0589487666039,104.0,1.0,349.0,0.01745,14.0,4.328767123287672,76.0,4.328767123287672,76.0,0.1917808219178082,2.0,3.25426944971537,4.0,6185.757575757576,16125.930735930735,,
Random Sparse,0.3,1467,6000,177650.0,162775.0,197200.0,0.5805555555555556,0.5319444444444444,0.6444444444444445,0.41944444444444445,0.011579900048673153,0.03996429999824613,Stress,,,,,,,,,,,,,,,,,,
Coverage Heuristic,0.3,1467,6000,165656.90476190476,165656.90476190476,165656.90476190476,0.5413624338624339,0.5413624338624339,0.5413624338624339,0.4586375661375662,0.0318451999919489,0.050326199969276786,Stress,236.03026119676503,54.0,0.3,185.0,0.00925,15.0,2.4657534246575343,39.0,2.4657534246575343,39.0,0.2054794520547945,2.0,2.6937718376621786,4.0,5023.809523809523,11487.142857142857,,
