方法编号,方法,优化器,时间预算倍率,优化时间预算(s),实际优化时间(s),评估次数,最佳utility,交付率,丢包率,候选通信转发节点数,候选通信转发节点比例,实际参与转发唯一卫星数,实际参与转发节点比例,平均交付中继跳数,最大观测中继跳数,在线调度时间(s),单次仿真评估时间(s),方法总运行时间(s)
M8,NSGA-III + Top-K Graph + Hungarian,NSGA-III,1.0,26.738396300002933,26.738396300002933,660,153000.0,0.9,0.1,7321,0.36605,36,0.0018,2.518518518518518,4,0.009522900800220668,0.04050070000812411,26.778897000011057
M12,TBLS + Top-K Graph + Hungarian,TBLS,0.25,6.684599075000733,6.712254999903962,198,144500.0,0.85,0.15,4797,0.23985,36,0.0018,2.490196078431372,4,0.009453700040467083,0.03319580003153533,6.745450799935497
R1,Random Search + Top-K Graph + Hungarian,Random Search,0.25,6.684599075000733,6.690988200018182,179,153000.0,0.9,0.1,5000,0.25,40,0.002,2.5555555555555554,4,0.00916669936850667,0.03478969994466752,6.72577789996285
H1,Coverage Heuristic + Top-K Graph + Hungarian,Coverage Heuristic,0.25,6.684599075000733,0.03769469994585961,1,129200.00000000003,0.7600000000000002,0.24,7321,0.36605,106,0.0053,2.43796992481203,4,0.019786099554039538,0.03769469994585961,0.07538939989171922
M12,TBLS + Top-K Graph + Hungarian,TBLS,0.5,13.369198150001466,13.371979099931195,395,144500.0,0.85,0.15,4797,0.23985,36,0.0018,2.490196078431372,4,0.009453700040467083,0.03319580003153533,13.40517489996273
R1,Random Search + Top-K Graph + Hungarian,Random Search,0.5,13.369198150001466,13.405114899971522,353,153000.0,0.9,0.1,5000,0.25,40,0.002,2.5555555555555554,4,0.00916669936850667,0.03478969994466752,13.43990459991619
H1,Coverage Heuristic + Top-K Graph + Hungarian,Coverage Heuristic,0.5,13.369198150001466,0.03769469994585961,1,129200.00000000003,0.7600000000000002,0.24,7321,0.36605,106,0.0053,2.43796992481203,4,0.019786099554039538,0.03769469994585961,0.07538939989171922
M12,TBLS + Top-K Graph + Hungarian,TBLS,1.0,26.738396300002933,26.74021019996144,780,144500.0,0.85,0.15,4797,0.23985,36,0.0018,2.490196078431372,4,0.009453700040467083,0.03319580003153533,26.773405999992974
R1,Random Search + Top-K Graph + Hungarian,Random Search,1.0,26.738396300002933,26.764458000077866,699,153000.0,0.9,0.1,3000,0.15,30,0.0015,3.0277777777777777,4,0.009139699512161314,0.031514499918557703,26.795972499996424
H1,Coverage Heuristic + Top-K Graph + Hungarian,Coverage Heuristic,1.0,26.738396300002933,0.03769469994585961,1,129200.00000000003,0.7600000000000002,0.24,7321,0.36605,106,0.0053,2.43796992481203,4,0.019786099554039538,0.03769469994585961,0.07538939989171922
M12,TBLS + Top-K Graph + Hungarian,TBLS,2.0,53.476792600005865,53.513581199920736,1538,147333.3333333333,0.8666666666666666,0.13333333333333333,4898,0.2449,50,0.0025,2.615384615384615,4,0.011312799761071801,0.03587730007711798,53.549458499997854
R1,Random Search + Top-K Graph + Hungarian,Random Search,2.0,53.476792600005865,53.50738970004022,1388,170000.0,1.0,0.0,3000,0.15,19,0.00095,2.6,4,0.007450600271113217,0.028982099960558116,53.53637180000078
H1,Coverage Heuristic + Top-K Graph + Hungarian,Coverage Heuristic,2.0,53.476792600005865,0.03769469994585961,1,129200.00000000003,0.7600000000000002,0.24,7321,0.36605,106,0.0053,2.43796992481203,4,0.019786099554039538,0.03769469994585961,0.07538939989171922
M12,TBLS + Top-K Graph + Hungarian,TBLS,4.0,106.95358520001173,106.98629779997282,3057,147333.3333333333,0.8666666666666666,0.13333333333333333,4898,0.2449,50,0.0025,2.615384615384615,4,0.011312799761071801,0.03587730007711798,107.02217510004994
R1,Random Search + Top-K Graph + Hungarian,Random Search,4.0,106.95358520001173,106.96390720002819,2738,170000.0,1.0,0.0,3000,0.15,19,0.00095,2.6,4,0.007450600271113217,0.028982099960558116,106.99288929998875
H1,Coverage Heuristic + Top-K Graph + Hungarian,Coverage Heuristic,4.0,106.95358520001173,0.03769469994585961,1,129200.00000000003,0.7600000000000002,0.24,7321,0.36605,106,0.0053,2.43796992481203,4,0.019786099554039538,0.03769469994585961,0.07538939989171922
M9,TBLS + Full Graph + Greedy,TBLS,1.0,26.738396300002933,26.74021019996144,780,153000.0,0.9,0.1,4797,0.23985,29,0.00145,1.8888888888888888,4,0.020215699914842844,0.043834200012497604,26.784044399973936
M10,TBLS + Top-K Graph + Greedy,TBLS,1.0,26.738396300002933,26.74021019996144,780,153000.0,0.9,0.1,4797,0.23985,34,0.0017,2.4259259259259256,4,0.009347799932584167,0.03330819995608181,26.77351839991752
M11,TBLS + Full Graph + Hungarian,TBLS,1.0,26.738396300002933,26.74021019996144,780,153000.0,0.9,0.1,4797,0.23985,29,0.00145,1.8888888888888888,4,0.02062969922553748,0.04481839993968606,26.785028599901125
M12,TBLS + Top-K Graph + Hungarian,TBLS,1.0,26.738396300002933,26.74021019996144,780,144500.0,0.85,0.15,4797,0.23985,36,0.0018,2.490196078431372,4,0.009744498645886779,0.03400480002164841,26.774214999983087
